,source,target,ligand,receptor,cpm_threshold,species
50833,ESF1,LE1,IL19,IL20RB,False,Monodelphis_domestica
50835,ESF1,LE1,IL1A,IL1R2,False,Monodelphis_domestica
50834,ESF1,LE1,IL1A,IL1RAP,False,Monodelphis_domestica
50836,ESF1,LE1,IL1B,ADRB2,False,Monodelphis_domestica
50838,ESF1,LE1,IL1B,IL1R2,False,Monodelphis_domestica
50837,ESF1,LE1,IL1B,IL1RAP,False,Monodelphis_domestica
50839,ESF1,LE1,IL20,IL20RB,False,Monodelphis_domestica
50840,ESF1,LE1,IL20,IL22RA1,False,Monodelphis_domestica
50841,ESF1,LE1,IL24,IL20RB,False,Monodelphis_domestica
50842,ESF1,LE1,IL24,IL22RA1,False,Monodelphis_domestica
50656,ESF1,LE1,IL27,IL6ST,False,Monodelphis_domestica
50843,ESF1,LE1,IL34,CSF1R,False,Monodelphis_domestica
50844,ESF1,LE1,IL5,IL5RA,False,Monodelphis_domestica
50846,ESF1,LE1,IL6,HRH1,False,Monodelphis_domestica
50845,ESF1,LE1,IL6,IL6ST,False,Monodelphis_domestica
50847,ESF1,LE1,IL7,IL7R,False,Monodelphis_domestica
50848,ESF1,LE1,IL9,IL9R,False,Monodelphis_domestica
50849,ESF1,LE1,INHA,TGFBR3,False,Monodelphis_domestica
50658,ESF1,LE1,INHBA,ACVR2A,False,Monodelphis_domestica
50850,ESF1,LE1,INHBA,ACVR2B,False,Monodelphis_domestica
50660,ESF1,LE1,INHBB,ACVR2A,False,Monodelphis_domestica
50659,ESF1,LE1,INHBB,ACVR2B,False,Monodelphis_domestica
50851,ESF1,LE1,INHBC,ACVR2A,False,Monodelphis_domestica
50852,ESF1,LE1,INHBC,ACVR2B,False,Monodelphis_domestica
50853,ESF1,LE1,INSL3,RXFP1,False,Monodelphis_domestica
50854,ESF1,LE1,INSL3,RXFP2,False,Monodelphis_domestica
50855,ESF1,LE1,JAG2,NOTCH2,False,Monodelphis_domestica
50856,ESF1,LE1,JAG2,NOTCH3,False,Monodelphis_domestica
